"age","charcoal"
21.35994485,0.730277139
31.83705116,0.675474553
33.10475573,0.541050424
34.13537178,0.578000374
35.62400869,0.780970075
36.07639015,0.639771763
37.56439083,0.662360351
38.47247713,0.81960374
41.33539299,0.642133454
44.22784162,0.859163277637265
45.95175774,0.750513092095867
46.79581345,0.719967697
49.14475421,0.806149296
51.59065801,1.197542865
56.17638258,1.025226731
74.11705981,1.830961917
77.59748976,1.574863059
78.47128035,1.8258067749572
79.44135646,2.028634196
80.23325716,2.694808757
80.9564461,3.182157577
82.31465713,2.99014207
82.87338774,3.164816464
83.90876112,4.049792259
85.16931601,3.487433053
85.92573422,5.041034396
86.25931603,4.276607313
86.58256678,5.334906825
87.07112632,4.72809164763675
87.23731032,4.008704256
87.5652489,5.821632306
87.91264191,2.663827442
88.33068399,3.803696742
88.70980704,-2.441723859
89.10464718,3.21003337
89.61634231,-0.360625202
90.08245714,0.961334359
92.13462159,0.847788007863691
92.57474933,0.268071789
93.30141098,1.261999201
93.56319036,0.661039116086604
93.79239369,0.0218854632754136
94.24564897,0.558013669936065
94.69339746,-0.647591615535094
94.94950409,-0.353327084377833
95.16325624,-1.05023218938036
95.77625523,0.390917703559336
96.05349646,0.468953880974673
96.37773085,0.874385399226846
96.66853276,0.930702956016011
96.9909919,0.130235720725202
97.33916196,1.04351105855781
97.61690606,0.204511860203778
98.0855747,0.0687092162739916
98.75188642,-0.408784007358082
99.11348015,-0.789117597159183
99.49607524,-0.771257966875631
99.76912619,-0.755557177426947
100.0443528,-0.240539304708512
100.478527,0.490712522224748
101.0838918,0.639783868666082
104.8736966,0.815008591562475
105.6835275,0.777582826022959
106.5295452,0.638705855121903
107.1818591,0.682459024975843
108.1310318,0.596135097618898
109.0428263,0.575412976039108
110.7077309,0.56424056134774
111.6467818,0.557939019462936
112.5885004,0.549551319132167
113.4678472,0.529254009282641
114.8293101,0.651911899371863
115.8467631,0.657254657744282
117.1048013,0.770740894254497
118.0032809,0.834858204878034
118.7163299,0.865807499595519
119.6160882,0.904860755123823
120.4713872,0.941984291967111
121.0139491,0.965533736879842
123.320528,1.06564886243956
123.8406034,1.08822229965062
124.3355528,1.43830615830395
124.7230928,1.20614301386665
125.1457706,0.900598841754031
125.5786282,1.24104701367558
126.0717557,0.917654540976777
126.5676442,0.94607825876167
126.9367655,1.19350813539472
127.2906073,0.999661984924319
127.6305321,0.723821831505966
127.8142094,0.698033539181954
128.3808973,1.08621641305143
128.5969312,1.1979931978059
128.9098926,1.66891977479716
129.2248758,1.10527761206082
129.5025651,2.93932325196913
129.8078002,1.32531652290215
130.1088273,1.27670976085927
130.469828,1.21603426182514
130.7701005,0.953158030224227
131.0855258,1.13874583114107
131.2501909,1.17488765213088
131.2800902,1.13480587409734
131.5734361,1.42561209239143
131.798596,1.07345420782875
132.1598387,1.42748114068017
132.5160059,1.43297455136864
132.8084691,1.05732287612727
133.0921119,1.26216102151258
133.4072504,1.05506216721768
133.7559419,1.5191600804823
134.162159,1.37617427342712
134.3912359,1.36431810016023
134.8470888,1.58497659060645
135.1002989,1.69562370451643
135.2470421,1.48453104283235
135.4024177,1.98315244656733
135.5977216,2.11213634311704
135.8190062,2.24568550046763
136.083423,2.65543842251279
136.2062168,2.51281839213455
136.5822966,2.12968074989936
136.8306344,1.99017351613963
136.9451659,1.94148435262998
137.0219807,1.73777563390119
