age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Age
383.0089818,0.218543546,0.863922644,0.340347941,0.277455956,41.02564103,0.266141907,33.33333333,0.817072325,0,0.148747214,5.494505495,0.723178733,4.100207798,0.544838732,>85 ka
386.3934602,0.200360039,0.841805254,0.324720444,0.272095692,38.26714801,0.219262852,23.8267148,0.579037615,2.166064982,0.702861408,2.888086643,0.396038239,4.803927806,0.708254547,>85 ka
388.5564423,0.22771563,0.874235514,0.307269203,0.266171366,43.75,0.31695882,28.125,0.697809966,1.171875,0.424651098,6.25,0.799660371,3.246063842,0.338648585,>85 ka
391.0603813,0.223414433,0.869469281,0.284679301,0.258600781,37.01067616,0.199591113,33.09608541,0.812372862,3.202846975,0.900824596,2.135231317,0.304729283,3.198509572,0.327945187,>85 ka
394.3596316,0.220266893,0.865903234,0.258735389,0.250045776,37.28222997,0.203750225,27.87456446,0.691302076,3.484320557,0.932001128,3.135888502,0.427697535,3.013165546,0.287624608,>85 ka
397.9236796,0.219673613,0.865223643,0.240375839,0.24408369,41.00719424,0.265812383,31.29496403,0.774316208,1.438848921,0.501615391,3.956834532,0.534804378,3.731594501,0.453996484,>85 ka
401.0815271,0.230088666,0.87681252,0.23072051,0.240979252,44.56928839,0.333008396,27.71535581,0.687133196,2.996254682,0.872041919,2.621722846,0.362761626,5.380249971,0.817289543,>85 ka
405.1256936,0.206022244,0.848932019,0.224244722,0.238909211,50.18450185,0.449885467,24.35424354,0.594270283,0,0.148747214,5.535055351,0.727618751,3.217324144,0.332163661,>85 ka
413.4278095,0.200384747,0.841836824,0.222200993,0.23825794,54.88721805,0.551735336,24.06015038,0.585794229,0.751879699,0.310195914,2.631578947,0.363976377,2.865587996,0.257297266,>85 ka
417.5157942,0.192898589,0.83208227,0.227895097,0.240074887,50.90909091,0.465531734,27.27272727,0.675417886,1.090909091,0.401734011,2.545454545,0.353409146,4.281278525,0.588905148,>85 ka
421.5699599,0.049247006,0.580184349,0.239090992,0.243669338,47.9020979,0.401217917,30.06993007,0.746114205,1.048951049,0.389984347,1.398601399,0.225800229,4.785615867,0.704351045,>85 ka
423.8925915,0.079115203,0.640725201,0.246787245,0.246156979,52.63157895,0.502895759,24.43609023,0.596621526,0,0.148747214,3.007518797,0.411225117,4.119282745,0.549516823,>85 ka
426.4007072,0.059746143,0.601764171,0.254000952,0.248500957,54.66101695,0.546860542,25.42372881,0.62469556,2.118644068,0.690820988,2.542372881,0.353033063,3.843456525,0.481528156,>85 ka
430.3547124,0.092665301,0.667162558,0.25842761,0.249945195,33.6996337,0.153077591,40.65934066,0.92611077,1.831501832,0.613885616,5.860805861,0.76195355,3.746118709,0.457561576,>85 ka
433.7587934,0.173284885,0.804733229,0.250346666,0.247312071,30.03533569,0.110703927,44.16961131,0.956152018,1.413427562,0.494243827,6.007067138,0.776561439,4.428347384,0.623914236,>85 ka
440.7188122,0.367065953,0.970213917,0.196825341,0.230253076,30.33707865,0.113837934,34.082397,0.831422217,1.872659176,0.625279775,9.36329588,0.968754002,2.684684523,0.222524647,>85 ka
446.1185634,0.151144783,0.770806891,0.140964263,0.21317273,41.63424125,0.277128327,23.73540856,0.576388363,4.280155642,0.980742842,7.392996109,0.887961624,4.508422003,0.642574979,>85 ka
448.9397915,0.150132218,0.769180079,0.113946284,0.205184053,41.69741697,0.27828136,21.77121771,0.51875736,4.79704797,0.992758547,9.963099631,0.980289217,3.570077794,0.414664315,>85 ka
452.7666869,0.14712238,0.764306527,0.085900505,0.197082587,37.86764706,0.212890355,30.14705882,0.747942762,3.676470588,0.948505445,5.147058824,0.683750404,4.102891919,0.545497398,>85 ka
455.5458831,0.152453726,0.772900311,0.075256318,0.194059232,41.44486692,0.273686089,26.61596958,0.657713475,3.802281369,0.957463551,7.224334601,0.877051301,7.027079523,0.972860789,>85 ka
458.9789493,0.163481558,0.790103588,0.077447134,0.194679187,42.85714286,0.299852879,31.5018315,0.778897307,1.465201465,0.50925636,5.494505495,0.723178733,3.74366799,0.456959779,>85 ka
461.9316084,0.167118525,0.795604745,0.090610295,0.198429394,42.42424242,0.291712375,22.72727273,0.546933735,2.272727273,0.729128322,4.545454545,0.610510734,4.316017638,0.597250188,>85 ka
465.4217588,0.171805358,0.802565881,0.10940524,0.203859036,45.05928854,0.342758076,29.24901186,0.726229072,2.766798419,0.833804564,3.162055336,0.431071777,4.524515958,0.646286392,>85 ka
468.6721162,0.148739695,0.766932321,0.122352881,0.207650449,46.26038781,0.367092351,19.66759003,0.456628844,6.094182825,0.999647875,5.540166205,0.728175845,7.13208871,0.976683449,>85 ka
