"","V1","V2"
"253",-0.0987189774906725,0.021734975362415
"254",-0.0973342965281978,0.0213949058281258
"255",-0.098557620536269,0.0216978342243994
"256",-0.0982516495689886,0.0216227384713618
"257",-0.0988150448528903,0.0217600676375373
"258",-0.0991230356036899,0.0218332111628073
"259",-0.0985185860784785,0.0216797036503246
"260",-0.0975067474592253,0.0214216023431504
"261",-0.0947764079863561,0.0207444153766522
"262",-0.0956246288620789,0.020943780110812
"263",-0.094006505078293,0.0205373479104339
"264",-0.0899526941012793,0.0195339878942495
"265",-0.0933237291452455,0.0203608786200193
"266",-0.0937050904190434,0.0204567901179366
"267",-0.0946127643687637,0.0206821322945201
"268",-0.0954764900558746,0.0208970007013415
"269",-0.0955268893788234,0.0209108076562485
"270",-0.0949445982681251,0.0207666692296146
"271",-0.0954724103599338,0.0208912899078603
"272",-0.0959292965069164,0.0209953754341987
"273",-0.0935910563762565,0.0204132956569663
"274",-0.0893839100047061,0.0193816874690322
"275",-0.0869487664585042,0.018773051793696
"276",-0.0912163454712242,0.019815781158606
"277",-0.0926737454471065,0.0201681094145615
"278",-0.0879408108553862,0.0190058449656343
"279",-0.0877134062536591,0.0189416888376455
"280",-0.0834490866361965,0.0178960329245443
"281",-0.0830411454373054,0.0177836448651477
"282",-0.0828715235133543,0.0177356166936425
"283",-0.0800327230989376,0.0170496460079585
"284",-0.080163394138059,0.01708020734066
"285",-0.0805089362127411,0.0171614773631925
"286",-0.0810713717596438,0.0172959797105054
"287",-0.0804750222060949,0.0171519745451978
"288",-0.0793798863989016,0.0168872545986784
"289",-0.0785679467942326,0.0166914716683235
"290",-0.0793209457574748,0.016871841645145
"291",-0.0795393318206723,0.0169246688184416
"292",-0.0791986342111714,0.0168438834212438
"293",-0.0802288430320142,0.0170914205190199
"294",-0.0804505476493187,0.0171439485309455
"295",-0.0788717402805017,0.0167643699645984
"296",-0.0770665363429524,0.0163283956953448
"297",-0.0767540373929791,0.0162522975967176
"298",-0.0761386176957918,0.0161042527719524
"299",-0.0749706285270862,0.0158253579289044
"300",-0.0739588515410574,0.0155835537805177
"301",-0.0744187114432181,0.0156930618418379
"302",-0.0743425857284148,0.0156749573231377
"303",-0.0738756800012413,0.0155637397357918
"304",-0.0738673841741053,0.015561763896957
"305",-0.073880866819111,0.0155649747499357
"306",-0.0742441855471729,0.0156515999197042
"307",-0.074975724050495,0.0158258339930384
"308",-0.0746829891610445,0.01575621124931
"309",-0.07413277784617,0.0156251010195217
"310",-0.0757095530707227,0.0160017715490756
"311",-0.0761873473046693,0.0161157984483278
"312",-0.0762075523098178,0.0161210630595876
"313",-0.0764172704122653,0.016170799697281
"314",-0.0754503403065131,0.0159401020986232
"315",-0.0762233265069941,0.0161247932661708
"316",-0.076564905765046,0.016206502344355
"317",-0.0764690918510552,0.016184649404007
"318",-0.0777273888860526,0.0164867774955553
"319",-0.0786571922523051,0.0167095576206387
"320",-0.0780701548471901,0.016568938937067
"321",-0.0766460018614714,0.0162270423561983
"322",-0.0762548025328734,0.0161321861016926
"323",-0.0755965694481924,0.015974609841013
"324",-0.0744086166446924,0.0156909613686072
"325",-0.0745220626501774,0.015717988108793
"326",-0.0753964644725869,0.0159272220851692
"327",-0.0774971653354688,0.016431561758571
"328",-0.0787038053854582,0.0167200072190688
"329",-0.0774826543949951,0.0164281851510334
"330",-0.0760960534610468,0.0160943482585011
"331",-0.0751808611639489,0.0158755593148174
"332",-0.0740587581611812,0.0156074611635098
"333",-0.0758426120758721,0.0160338636072332
"334",-0.0765867771639749,0.016211145431911
"335",-0.0757910689103578,0.0160212282267636
"336",-0.0751944042483114,0.0158787308962825
"337",-0.0761940850016978,0.0161180111321231
"338",-0.0768915505411123,0.0162842446284266
"339",-0.0759526032144297,0.0160599209787708
"340",-0.0747246784651595,0.0157665082254071
"341",-0.0751269051517388,0.0158627176447505
"342",-0.0762097018746448,0.0161219707985144
"343",-0.0778677253609199,0.0165216420303572
"344",-0.0795198620008197,0.0169187279647161
"345",-0.0795013426908886,0.0169161198449477
"346",-0.0800701297918981,0.017054191763179
"347",-0.0808096319332926,0.0172310044110966
"348",-0.0796987162841357,0.0169641895785358
"349",-0.0783972943840034,0.0166509428525227
"350",-0.0788033045249966,0.0167510617621
"351",-0.0811247520769529,0.0173157069887533
"352",-0.084325182522956,0.0180936941520237
"353",-0.0860696528772235,0.0185176466690784
"354",-0.0823410129094607,0.0176198727768095
"355",-0.0845010199178183,0.0181441216278517
"356",-0.0858664414250123,0.0184782001961245
"357",-0.0860613323999748,0.0185318463321147
"358",-0.0883526071037366,0.0190901765730655
"359",-0.0882372228275341,0.0190644027080216
"360",-0.0882052304446302,0.0190572033579514
"361",-0.0877706428459974,0.0189488994476633
"362",-0.08768142176699,0.0189239133283335
"363",-0.084355201278337,0.0181136745725402
"364",-0.085583100117012,0.0184091914285821
"365",-0.085098536946073,0.0182864088597634
"366",-0.0838689079057531,0.0179835078241308
"367",-0.0821768630329588,0.0175708674432815
"368",-0.0794227320567973,0.0169039279053124
"369",-0.0817486589343429,0.0174620618436035
"370",-0.0818825671833492,0.0174938511533153
"371",-0.0813323776231168,0.0173596474645819
"372",-0.0783541760641765,0.0166410969935196
"373",-0.0763654461620194,0.016159771847982
"374",-0.0753437043359163,0.0159143890367363
"375",-0.0742418701747749,0.015651095355003
"376",-0.0739964220851011,0.0155924838180741
"377",-0.0740252134866753,0.0155993363986828
"378",-0.0741571114200978,0.0156307929919955
"379",-0.074689233488294,0.0157576923093854
"380",-0.0749199834911627,0.0158159159973345
"381",-0.0922266418266753,0.0200696698803214
"382",-0.0885629405417553,0.0191619215384487
"383",-0.0832283696710706,0.0178525038762197
"384",-0.0891077099863746,0.0192872533617623
"385",-0.0898335987146418,0.0194645535127599
"386",-0.089733872026299,0.0194378255171054
"387",-0.0894436288186028,0.0193748990889461
"388",-0.0917383968283488,0.0199489902403042
"389",-0.0855379495347012,0.0184311429368338
"390",-0.0931077849973379,0.0202829600352058
"391",-0.0934259033117227,0.0203603399436328
"392",-0.0916894191958929,0.0199284319600699
"393",-0.0912664658975699,0.0198155682387583
"394",-0.0874776487299398,0.0188891649694662
"395",-0.0894217143897996,0.0193642856774877
"396",-0.0909577952245857,0.0197363791791745
"397",-0.0838030789639689,0.0179843272406082
"398",-0.0781019158894878,0.0165866226860251
