V1,V2,V3
21.47030668,16.42399194,-25.63095906
23.17186928,14.87638989,-25.2949433
23.41186041,14.64797975,-23.38744273
23.02226437,16.52245698,-23.93047839
22.52222823,12.99762114,-24.65634965
21.49471656,14.35450245,-25.94975604
21.51064901,14.99789445,-24.15530984
21.82815297,13.29501885,-22.91735327
20.40103482,17.11973516,-23.9328874
20.82044819,15.69078913,-22.48359359
20.07801725,13.46251906,-24.62859369
19.97415771,14.11703672,-23.01719853
19.40108173,15.254774,-24.80751484
17.67412885,14.27632504,-23.60457423
18.34795281,16.21167621,-22.95260738
18.08458351,-39.32360123,0.439796887
18.1921073,-39.24904282,1.366121418
18.90463447,-39.70558929,3.140996268
19.30147063,-39.9043305,5.136008889
18.4896346,-39.81611672,7.05342168
19.83298184,-39.20785058,10.09222799
21.4822162,-39.84698901,10.37803748
20.69671441,-38.38729546,11.10805012
23.16830955,-41.23042331,12.2638903
23.07561614,-42.67700863,10.90014995
27.83381747,-43.02492394,15.90814611
27.98073621,-42.82331721,15.52223179
25.74324294,-42.19613417,12.17448493
23.65793057,-40.61794007,10.80520583
24.69952411,-40.05520877,11.85079824
24.91082625,-41.63965122,10.36804953
24.35245115,-38.9654051,13.0322897
22.94374651,-35.4840234,13.59898442
15.84946469,12.69566339,-5.062826833
24.05303309,-37.6338124,13.27371855
23.31454255,-34.34145708,14.13226943
20.2330208,6.001611315,8.815555437
21.23650433,5.279737576,8.867253839
20.35218608,5.743064138,7.545604071
21.69428663,8.823939011,-1.749910018
21.50447603,8.36836389,-1.176963957
21.80498934,8.460797683,0.923471697
21.05908073,6.654151771,3.527788925
24.237482,9.498149049,11.16437048
25.06619891,8.88834798,10.59254988
24.80859882,9.557370337,10.01738277
19.91915559,4.187402962,3.047430075
20.66971585,5.945181356,5.655923526
19.05645211,4.775143674,11.07175334
19.77264118,4.005424709,7.88305952
14.27323989,5.93640875,-4.674799231
16.00077337,5.152255639,-2.032053988
18.03320652,3.676857153,-0.389790041
19.00996698,3.001256087,-0.316808413
6.927149287,-14.1071878,-11.85069537
4.902493415,-14.82360688,-12.41200457
7.490970354,-13.47289925,-13.5024313
7.180632751,-13.38335223,-14.07972271
2.921213002,-14.8787799,-13.42931583
1.661154297,-15.01991644,-13.55689239
0.518035182,-14.59451193,-13.83671378
-2.262591622,-11.75141639,-19.42451172
5.827329853,3.941141667,-22.40238959
-2.09791838,-11.09633417,-20.58449533
5.272632219,2.979454017,-22.49956065
-3.087192183,-13.40161573,-18.16814453
-0.976482152,-10.17726105,-17.53716461
-1.29993552,-13.56930374,-15.07682118
-1.903157223,-15.97071837,-13.40646141
1.737794719,-5.123358281,-19.6336991
-1.927585948,-11.8239345,-17.2890158
3.361798933,-2.096508612,-19.5585695
1.388478366,-5.466556905,-18.55160568
3.610551158,-3.761991693,-15.82826476
13.96316252,7.268596344,-5.292087693
4.293646271,-4.51993107,-13.82643974
