charcoal age,MACROcharcoal (log(char)*rate),,,,
10.47516604,0.948383821,,,,
10.53339472,0.850790204,,,,
10.96096331,1.010576016,,,,
11.31739293,0.799212571,,,,
11.62584233,1.106871314,,,,
11.90839281,0.964607139,,,,
12.18699296,1.107597861,,,,
12.48946553,0.885070208,,,,
12.80586133,0.743964851,,,,
13.14057866,0.773504961,,,,
13.46211702,0.965863455,,,,
13.7502321,1.227995338,,,,
14.04660402,0.849524058,,,,
14.40503101,0.620669917,,,,
14.88090384,0.461474953,,,,
15.48832495,0.416869104,,,,
16.00239607,0.389583026,,,,
16.66217813,0.465577978,,,,
17.38653225,0.477966932,,,,
18.06423701,0.501189693,,,,
18.65611036,0.5313207,,,,
19.18454138,0.614167734,,,,
19.66602135,0.678173785,,,,
20.10932646,0.70479669,,,,
20.52762434,0.746800905,,,,
20.92649048,0.753964426,,,,
21.35994485,0.730277139,,,,
21.7498784,0.803412331,,,,
22.15238054,0.899979435,,,,
22.54446839,0.868861629,,,,
22.93342337,0.852537983,,,,
23.32652692,0.677107057,,,,
24.12414875,0.758097525,,,,
24.57147802,0.684721591,,,,
25.19863959,0.683848822,,,,
25.68403486,0.748860594,,,,
26.10981182,0.753932767,,,,
26.58314546,0.677889008,,,,
27.01581494,0.802574438,,,,
27.41203254,0.891173589,,,,
27.82736297,0.762758431,,,,
28.23797992,0.851655683,,,,
28.57012625,0.513854635,,,,
29.01035831,0.763588408,,,,
29.43915388,0.74238198,,,,
29.8432406,0.764650128,,,,
30.27231163,0.708659981,,,,
30.71364768,0.776057552,,,,
31.16976028,0.755735203,,,,
31.63973523,0.805469673,,,,
31.83705116,0.675474553,,,,
32.61127833,0.575559958,,,,
33.10475573,0.541050424,,,,
33.57075403,0.696530719,,,,
34.13537178,0.578000374,,,,
34.60488117,0.546436966,,,,
35.10222512,0.660745216,,,,
35.62400869,0.780970075,,,,
36.07639015,0.639771763,,,,
36.58195692,0.643156877,,,,
37.05623892,0.794268295,,,,
37.56439083,0.662360351,,,,
38.00601315,0.679473985,,,,
38.47247713,0.81960374,,,,
38.94297416,0.761014321,,,,
39.4086201,0.67525082,,,,
39.85489518,0.781143047,,,,
40.33374428,0.824358082,,,,
40.79302309,0.782320524,,,,
41.33539299,0.642133454,,,,
41.61947927,0.837158435,,,,
42.42648686,0.733318569,,,,
42.93003798,0.784241136,,,,
43.37467591,0.790920291,,,,
43.81642119,0.808780744,,,,
44.25517413,0.862510416,,,,
44.69083501,0.853739989,,,,
45.12330411,0.727397991,,,,
45.52575644,0.765929584,,,,
46.79581345,0.719967697,,,,
47.12311626,0.845940922,,,,
47.53536918,0.700298121,,,,
47.94375914,0.877230689,,,,
48.34818644,0.847785039,,,,
49.14475421,0.806149296,,,,
49.55374382,0.991865339,,,,
49.68740539,0.898283277,,,,
50.23351708,0.901792798,,,,
50.58805199,0.974971078,,,,
50.94532159,0.919139794,,,,
51.27881867,1.187586019,,,,
51.59065801,1.197542865,,,,
51.87409495,1.20998362,,,,
52.1976804,1.15190687,,,,
52.45512064,1.127561972,,,,
52.69967951,1.221315901,,,,
52.90764122,1.462325635,,,,
53.13364946,1.584065763,,,,
53.35288277,1.663239617,,,,
53.56745594,1.356958469,,,,
53.77948376,1.302106963,,,,
53.99108101,1.721252,,,,
54.20436248,1.773813421,,,,
54.42144297,1.135177579,,,,
54.68707872,1.595836089,,,,
55.07818981,1.183760617,,,,
55.32955945,1.320926806,,,,
55.59497161,1.090019676,,,,
55.87654105,1.295341049,,,,
56.17638258,1.025226731,,,,
56.49661098,0.905692313,,,,
56.83934103,0.737236099,,,,
57.20668752,0.768541998,,,,
57.60076524,0.757300447,,,,
58.02368898,0.616308501,,,,
58.50406733,0.557039711,,,,
58.99295079,0.733904519,,,,
59.51714357,0.730296521,,,,
60.07876048,0.669330732,,,,
60.67991629,0.358334698,,,,
61.35653912,0.346549708,,,,
62.29340797,0.303773443,,,,
63.48659279,0.274529075,,,,
65.80668236,0.137380308,,,,
67.27402515,0.188365281,,,,
68.72891955,0.272168643,,,,
69.93976502,0.245489233,,,,
71.33690125,0.315839431,,,,
72.35775762,0.156297736,,,,
73.10170371,1.218616991,,,,
73.72694158,1.877368092,,,,
73.93542103,2.231485032,,,,
74.11705981,1.830961917,,,,
74.31703088,1.476822493,,,,
74.52212321,2.078100054,,,,
74.72096377,1.913673172,,,,
74.91737088,2.199993304,,,,
75.11136504,1.944325689,,,,
75.3053467,1.942740813,,,,
75.48984564,2.302780699,,,,
75.83493926,1.808324076,,,,
75.86591412,2.409008509,,,,
76.01753567,2.006572688,,,,
76.10459156,2.392577397,,,,
76.19783886,2.229001119,,,,
76.36923396,1.719067773,,,,
76.54291182,2.014162925,,,,
76.54509628,1.842039418,,,,
76.72519405,1.816131785,,,,
76.89652929,1.849170532,,,,
77.23264795,1.993485105,,,,
77.42201187,1.898837702,,,,
77.59748976,1.574863059,,,,
77.74764623,1.997457756,,,,
77.90579384,1.94306528,,,,
78.05896939,2.192463488,,,,
78.21591645,2.093284421,,,,
78.37548049,2.211553966,,,,
78.45068618,1.764264942,,,,
78.87533834,3.033258657,,,,
79.02306947,2.086867402,,,,
79.16438248,2.489702014,,,,
79.30380464,2.887823753,,,,
79.44135646,2.028634196,,,,
79.58211152,2.156033929,,,,
79.71591589,2.550674998,,,,
79.84791216,2.877793339,,,,
79.9781208,2.688171204,,,,
80.1065623,2.707725446,,,,
80.23325716,2.694808757,,,,
80.35822587,3.018682125,,,,
80.47995856,2.684511271,,,,
80.60155737,3.460454533,,,,
80.72149123,3.261229594,,,,
80.83978065,2.146281928,,,,
80.9564461,3.182157577,,,,
81.10713936,2.551707816,,,,
81.38051535,2.873140224,,,,
81.48973733,3.261352719,,,,
81.5974533,3.179026762,,,,
81.70368375,3.216706804,,,,
81.80844916,3.145384811,,,,
81.91177002,3.076320289,,,,
